time,open,high,low,close,adjClose,volume,ma_90,mom_10,mom_30,prediction,fees,pnl,capital,benchmark,score,position,fees,pnl,capital,total_profit,total_loss,count_profit,count_loss
2015-01-02 00:00:00,111.389999,111.440002,107.349998,109.330002,99.945885,53204600.0,99.945885,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05 00:00:00,108.290001,108.650002,105.410004,106.25,97.130241,64285500.0,98.538063,0.0,0.0,0.5,0.0,0.0,0.0,-2.815644000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06 00:00:00,106.540001,107.43,104.629997,106.260002,97.13942,65797100.0,98.07184866666667,0.0,0.0,0.5,0.0,0.0,0.0,-2.806465000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07 00:00:00,107.199997,108.199997,106.699997,107.75,98.501518,40105900.0,98.17926600000001,0.0,0.0,0.5,0.0,0.0,0.0,-1.4443669999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08 00:00:00,109.230003,112.150002,108.699997,111.889999,102.286186,59364500.0,99.00065000000001,0.0,0.0,0.5,0.0,0.0,0.0,2.3403009999999966,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09 00:00:00,112.669998,113.25,110.209999,112.010002,102.395844,53699500.0,99.56651566666666,0.0,0.0,0.5,0.0,0.0,0.0,2.4499589999999927,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-12 00:00:00,112.599998,112.629997,108.800003,109.25,99.872757,49650800.0,99.61026442857143,0.0,0.0,0.5,0.0,0.0,0.0,-0.07312800000001118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13 00:00:00,111.43,112.800003,108.910004,110.220001,100.759514,67091900.0,99.75392062499999,0.0,0.0,0.5,0.0,0.0,0.0,0.8136289999999917,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-14 00:00:00,109.040001,110.489998,108.5,109.800003,100.375572,48956600.0,99.822993,0.0,0.0,0.5,0.0,0.0,0.0,0.42968700000000126,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15 00:00:00,110.0,110.059998,106.660004,106.82,97.651314,60014000.0,99.60582509999999,0.0,0.0,0.5,0.0,0.0,0.0,-2.294571000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16 00:00:00,107.029999,107.580002,105.199997,105.989998,96.892563,78513300.0,99.3591649090909,-0.24470030914470753,0.0,0.5,0.0,0.0,0.0,-3.0533220000000085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19 00:00:00,107.029999,107.580002,105.199997,105.989998,96.892563,78513300.0,99.15361474999997,-0.25412649159322065,0.0,0.5,0.0,0.0,0.0,-3.0533220000000085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-20 00:00:00,107.839996,108.970001,106.5,108.720001,99.38829,49899900.0,99.17166669230768,0.9002622680393646,0.0,0.5,0.0,0.0,0.0,-0.5575950000000063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
