time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-03-05 00:00:00,-1.5926013966344876,-7.568283000000008,889.7848522500003,992.4317169999999,1.2083213583774035,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",9.544869000000006,17.113152000000014,7,15
2015-03-06 00:00:00,-1.465899729667605,-7.7426690000000065,889.6191855500003,992.257331,1.1845623080322754,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",9.544869000000006,17.287538000000012,7,16
2015-03-09 00:00:00,-1.4625240351932345,-8.238259,889.1483750500004,991.761741,1.1665931370381586,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",9.544869000000006,17.783128000000005,7,17
2015-03-10 00:00:00,-1.57504499072544,-5.824509000000006,891.4414375500004,994.175491,1.2674370392027607,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",11.958618999999999,17.783128000000005,8,17
2015-03-11 00:00:00,-1.475743607059667,-3.7411810000000116,893.4205991500004,996.258819,1.3324876076270704,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.041946999999993,17.783128000000005,9,17
2015-03-12 00:00:00,-1.2621485541710689,-5.769448000000011,891.4937455000004,994.230552,1.3904075838477075,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.041946999999993,19.811395000000005,9,18
2015-03-13 00:00:00,-1.4279392280023948,-4.980156000000008,892.2435729000003,995.019844,1.3762294316956856,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.831238999999997,19.811395000000005,10,18
2015-03-16 00:00:00,-1.338093421926424,-6.228341,891.0577971500004,993.771659,1.3810321603840043,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.831238999999997,21.059579999999997,10,19
2015-03-17 00:00:00,-1.3741137659240423,-8.146477000000004,889.2355679500004,991.853523,1.4268616055465098,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.831238999999997,22.977716,10,20
2015-03-18 00:00:00,-1.4535732895829072,-9.458886000000007,887.9887794000003,990.541114,1.4344913462762447,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",14.831238999999997,24.290125000000003,10,21
2015-03-19 00:00:00,-1.554108539683502,-8.56868,888.8344751000003,991.43132,1.4245104784921745,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",15.721445000000003,24.290125000000003,11,21
2015-03-20 00:00:00,-1.5492032441953032,-7.100243000000006,890.2294902500003,992.899757,1.4392656939845891,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",17.189881999999997,24.290125000000003,12,21
2015-03-23 00:00:00,-1.4225257929778978,-8.302506000000008,889.0873404000002,991.697494,1.4408403492935817,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",17.189881999999997,25.492388000000005,12,22
2015-03-24 00:00:00,-1.5085130629423884,-7.8252489999999995,889.5407345500003,992.174751,1.4209803022653877,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",17.667139000000006,25.492388000000005,13,22
2015-03-25 00:00:00,-1.5888420798369205,-4.787438000000009,892.4266550000002,995.2125619999999,1.556485215915007,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",20.704949999999997,25.492388000000005,14,22
2015-03-26 00:00:00,-1.340053541279981,-5.5767060000000015,891.6768504000003,994.4232939999999,1.5414951025057908,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",20.704949999999997,26.281655999999998,14,23
2015-03-27 00:00:00,-1.423443338479665,-4.668122000000011,892.5400052000002,995.331878,1.5303110498413772,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",21.613533999999987,26.281655999999998,15,23
2015-03-30 00:00:00,-1.2911506668442139,-7.53157800000001,889.8197220000002,992.468422,1.6405786708013563,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",21.613533999999987,29.145111999999997,15,24
2015-03-31 00:00:00,-1.5284256964268446,-5.751084000000006,891.5111913000002,994.248916,1.6661515166724505,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",23.39402799999999,29.145111999999997,16,24
2015-04-01 00:00:00,-1.408235083754405,-5.585900000000009,891.6681161000001,994.4141,1.640917128885679,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",23.559211999999988,29.145111999999997,17,24
2015-04-02 00:00:00,-1.3706714655302221,-6.567902000000004,890.7352142000001,993.432098,1.6311658550736616,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",23.559211999999988,30.12711399999999,17,25
2015-04-03 00:00:00,-1.4358355609299978,-6.567902000000004,890.7352142000001,993.432098,1.6069036642837984,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",23.559211999999988,30.12711399999999,17,25
2015-04-06 00:00:00,-1.3878813155231264,-8.430985000000007,888.96528535,991.569015,1.6361186806744341,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",23.559211999999988,31.990196999999995,17,26
2015-04-07 00:00:00,-1.5369040519993558,-7.2011870000000044,890.13359345,992.798813,1.6351856944576777,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",24.78900999999999,31.990196999999995,18,26
2015-04-08 00:00:00,-1.4698471160709514,-6.824883,890.4910822500001,993.175117,1.6140130914731605,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.165313999999995,31.990196999999995,19,26
2015-04-09 00:00:00,-1.4210880695036132,-7.7059560000000005,889.6540629000001,992.294044,1.6026880562590917,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.165313999999995,32.871269999999996,19,27
2015-04-10 00:00:00,-1.4613424711514131,-8.201554000000002,889.1832448000001,991.798446,1.5841672692127033,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.165313999999995,33.366868,19,28
2015-04-13 00:00:00,-1.4978518726974162,-7.972107000000008,889.4012194500001,992.027893,1.5634295980979134,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.39476099999999,33.366868,20,28
2015-04-14 00:00:00,-1.4992207764231693,-7.467324000000005,889.8807633000001,992.532676,1.5460033778208628,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.89954399999999,33.366868,21,28
2015-04-15 00:00:00,-1.4550572325274478,-7.9078599999999994,889.4622541000001,992.09214,1.528217605500247,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",25.89954399999999,33.80740399999999,21,29
2015-04-16 00:00:00,-1.4989251593964137,-7.348015000000004,889.9941068500001,992.651985,1.5124823107852083,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",26.459388999999987,33.80740399999999,22,29
2015-04-17 00:00:00,-1.5051378491428282,-6.0447770000000105,891.23218295,993.9552229999999,1.5155141445074014,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",27.76262699999998,33.80740399999999,23,29
2015-04-20 00:00:00,-1.3522142478570371,-8.66043900000001,888.74730405,991.339561,1.5862488328428312,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",27.76262699999998,36.42306599999999,23,30
2015-04-21 00:00:00,-1.5239556915673975,-8.027176000000011,889.3489039,991.972824,1.5715511984691954,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",28.39588999999998,36.42306599999999,24,30
2015-04-22 00:00:00,-1.4435306230543132,-9.596581,887.85796915,990.403419,1.5837363642207052,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",28.39588999999998,37.99247099999998,24,31
2015-04-23 00:00:00,-1.5034396919068471,-10.56025000000001,886.9424836000001,989.43975,1.576310756034762,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",28.39588999999998,38.95613999999999,24,32
2015-04-24 00:00:00,-1.538188130623322,-11.120079000000004,886.4106460500001,988.879921,1.5614449659057175,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",28.39588999999998,39.515968999999984,24,33
2015-04-27 00:00:00,-1.510166720106863,-13.295174000000003,884.3443058,986.704826,1.6016703625913116,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",28.39588999999998,41.69106399999998,24,34
2015-04-28 00:00:00,-1.6688109587177753,-11.37704500000001,886.16652835,988.622955,1.6280007939511543,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",30.314018999999973,41.69106399999998,25,34
2015-04-29 00:00:00,-1.6279863663964989,-9.614930000000001,887.8405376000001,990.38507,1.646557727265624,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",32.07613399999998,41.69106399999998,26,34
2015-04-30 00:00:00,-1.6447057006010524,-6.411896000000013,890.8834199,993.5881039999999,1.749591804405966,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",35.27916799999997,41.69106399999998,27,34
2015-05-01 00:00:00,-1.3484499026394974,-9.899422000000001,887.5702702000001,990.100578,1.8726941148007568,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",35.27916799999997,45.17858999999997,27,35
2015-05-04 00:00:00,-1.5447695765297365,-9.669983000000002,887.7882372500001,990.330017,1.8522154876171055,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",35.50860699999997,45.17858999999997,28,35
2015-05-05 00:00:00,-1.623458669807649,-7.008446000000006,890.3166974000001,992.991554,1.9128627658470265,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",38.170143999999965,45.17858999999997,29,35
2015-05-06 00:00:00,-1.4740181151593228,-6.283409000000006,891.00548255,993.716591,1.8975252672683984,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",38.895180999999965,45.17858999999997,30,35
2015-05-07 00:00:00,-1.4055165636892883,-6.993050000000011,890.3313236,993.00695,1.8822882036566544,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",38.895180999999965,45.888230999999976,30,36
2015-05-08 00:00:00,-1.3957623342215906,-9.168045000000006,888.2650783500001,990.831955,1.9144483239441188,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",38.895180999999965,48.06322599999997,30,37
2015-05-11 00:00:00,-1.5565923818612974,-7.969963000000007,889.40325625,992.030037,1.9096831461213513,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.093262999999965,48.06322599999997,31,37
2015-05-12 00:00:00,-1.4963544557734612,-7.5552220000000005,889.7972602,992.444778,1.8912401366680778,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.50800399999997,48.06322599999997,32,37
2015-05-13 00:00:00,-1.4667739030950246,-7.684265000000011,889.6746693499999,992.315735,1.8715112427612073,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.50800399999997,48.19226899999998,32,38
2015-05-14 00:00:00,-1.4066703814721357,-10.39378400000001,887.1006262999999,989.606216,1.9302250689299352,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.50800399999997,50.90178799999998,32,39
2015-05-15 00:00:00,-1.5549369350773836,-10.227890000000002,887.2582256,989.77211,1.9107680862964216,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.67389799999998,50.90178799999998,33,39
2015-05-18 00:00:00,-1.5104161088816903,-11.536560000000009,886.0149891,988.46344,1.9093147790718707,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.67389799999998,52.21045799999999,33,40
2015-05-19 00:00:00,-1.578919142781599,-11.42598000000001,886.1200401,988.57402,1.890378309828622,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.78447799999998,52.21045799999999,34,40
2015-05-20 00:00:00,-1.5736351866611968,-11.416771000000011,886.1287886499999,988.583229,1.871689031857984,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.79368699999998,52.21045799999999,35,40
2015-05-21 00:00:00,-1.5399457177430473,-12.642517000000012,884.96432995,987.357483,1.8685982451549987,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.616416999999956}",40.79368699999998,53.43620399999999,35,41
2015-05-22 00:00:00,-1.5693763872127138,-13.702370000000002,883.9574696,986.29763,1.8618502051785255,115.9608750499998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",40.79368699999998,54.49605699999998,35,42
2015-05-25 00:00:00,-1.6171085968760703,-13.702370000000002,883.9574696,986.29763,1.8441293005641721,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",40.79368699999998,54.49605699999998,35,42
2015-05-26 00:00:00,-1.7022161285187887,-11.011261000000005,886.51402315,988.988739,1.8976145281935966,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",43.484795999999974,54.49605699999998,36,42
2015-05-27 00:00:00,-1.5064197798066694,-13.24157000000001,884.3952296,986.75843,1.9280783202424359,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",43.484795999999974,56.726365999999985,36,43
2015-05-28 00:00:00,-1.6157812342178268,-13.001915000000011,884.62290185,986.998085,1.9107128585714204,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",43.72445099999997,56.726365999999985,37,43
2015-05-29 00:00:00,-1.6461767204990103,-11.619522000000003,885.9361752,988.380478,1.91125575365071,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",45.10684399999998,56.726365999999985,38,43
2015-06-01 00:00:00,-1.5706777632204765,-11.859138999999999,885.70853905,988.140861,1.8942760240199947,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",45.10684399999998,56.96598299999998,38,44
2015-06-02 00:00:00,-1.598149787379132,-11.324593000000007,886.21635775,988.675407,1.8797229637617454,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",45.64138999999997,56.96598299999998,39,44
2015-06-03 00:00:00,-1.5669715038642318,-11.472054,886.0762698000001,988.527946,1.8629823200368831,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",45.64138999999997,57.11344399999997,39,45
2015-06-04 00:00:00,-1.5952266286703005,-10.771645000000007,886.7416583500001,989.228355,1.8508205465764025,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",46.341798999999966,57.11344399999997,40,45
2015-06-05 00:00:00,-1.5785274905215472,-10.117295000000013,887.3632908500001,989.882705,1.838273961061338,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",46.99614899999996,57.11344399999997,41,45
2015-06-08 00:00:00,-1.567249164541531,-9.333939,888.1074790500002,990.666061,1.827586245919711,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",47.77950499999997,57.11344399999997,42,45
2015-06-09 00:00:00,-1.5338103648875618,-8.983719000000008,888.4401880500002,991.0162809999999,1.8126807435778687,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",48.129724999999965,57.11344399999997,43,45
2015-06-10 00:00:00,-1.47706992373015,-10.329255000000003,887.1619288500002,989.670745,1.8129996227628034,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",48.129724999999965,58.45897999999997,43,46
2015-06-11 00:00:00,-1.5564197832327373,-10.062004000000002,887.4158173000002,989.937996,1.7980647868090103,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",48.39697599999997,58.45897999999997,44,46
2015-06-12 00:00:00,-1.583132817516186,-8.753304,888.6590823000001,991.246696,1.7976197290355642,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",49.70567599999997,58.45897999999997,45,46
2015-06-15 00:00:00,-1.514153321739196,-8.522919000000002,888.8779480500001,991.477081,1.7828519475339144,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",49.93606099999997,58.45897999999997,46,46
2015-06-16 00:00:00,-1.4828471221120252,-9.149605000000008,888.2825963500001,990.8503949999999,1.7712459962869707,116.04253040000003,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 13.702369999999974}",49.93606099999997,59.085665999999975,46,47
